"DATABASE_NAME","CUBE_NAME","MEASURE_GROUP_NAME","DIMENSION_NAME","ATTRIBUTE_NAME","TABLE_ID","COLUMN_ID","COLUMN_TYPE","COLUMN_ENCODING","DATATYPE","ISKEY","ISUNIQUE","ISNULLABLE","ISROWNUMBER","DICTIONARY_SIZE","DICTIONARY_ISPAGEABLE","DICTIONARY_ISRESIDENT","DICTIONARY_TEMPERATURE","DICTIONARY_LAST_ACCESSED","STRING_INDEX_SIZE","FULLTEXT_INDEX_SIZE"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","Is Approved","H$Outcome (25)$Is Approved (104)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","Outcome Key","H$Outcome (25)$Outcome Key (100)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","Outcome Key","H$Outcome (25)$Outcome Key (100)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Channel","Channel","Channel","H$Channel (22)$Channel (97)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Channel","Channel","Channel","H$Channel (22)$Channel (97)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","Outcome","H$Outcome (25)$Outcome (101)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Outcome","Outcome","Outcome","H$Outcome (25)$Outcome (101)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Fraud Status","Fraud Status","Is Fraud","H$Fraud Status (31)$Is Fraud (114)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Fraud Status","Fraud Status","Is Fraud","H$Fraud Status (31)$Is Fraud (114)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Fraud Status","Fraud Status","Fraud Key","H$Fraud Status (31)$Fraud Key (110)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
